Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g)
Hot Sauce Packet (V),0,0,0,0,0,45,0,0,0,0
Mild Sauce Packet (V),0,0,0,0,0,30,0,0,0,0
,,,,,,,,,,
Drinks,,,,,,,,,,
Blue Raspberry Freeze™ (16 oz),120,0,0,0,0,35,30,0,30,0
Blue Raspberry Freeze™ (20 oz),150,0,0,0,0,40,38,0,38,0
Cinnabon® Delights™ Coffee - Hot,160,2,1.5,0,5,75,34,0,22,1
Cinnabon® Delights™ Coffee - Iced,160,2,1.5,0,5,85,34,0,22,1
Hot Coffee with Creamer,45,1,0.5,0,<5,10,8,0,7,<1
Iced Coffee with Creamer,45,1,0.5,0,<5,15,8,0,7,<1
Lowfat Milk - CA (Regional),100,2,1.5,0,10,130,13,0,12,9
Lowfat Milk - Federal (Regional),80,2,1.5,0,10,100,10,0,9,7
Mango Freeze® (16 oz),160,0,0,0,0,35,41,0,41,0
Mango Freeze® (20 oz),190,0,0,0,0,40,51,0,51,0
Mango Whip Freeze® (16 oz),210,1,0.5,0,<5,40,51,0,49,0
Mango Whip Freeze® (20 oz),250,1,0.5,0,<5,45,62,0,59,0
Mtn Dew® Baja Blast Freeze™ (16 oz),150,0,0,0,0,45,41,0,41,0
Mtn Dew® Baja Blast Freeze™ (20 oz),190,0,0,0,0,55,51,0,51,0
Orange Juice,140,0,0,0,0,20,33,<1,28,2
Premium Roast Coffee - Hot,0,0,0,0,0,5,0,0,0,0
Premium Roast Coffee - Iced,0,0,0,0,0,20,0,0,0,0
Water,0,0,0,0,0,0,0,0,0,0
Wild Cherry Freeze™ (16 oz),150,0,0,0,0,70,40,0,40,0
Wild Cherry Freeze™ (20 oz),190,0,0,0,0,90,50,0,50,0
Wild Strawberry Freeze™ (16 oz),150,0,0,0,0,40,41,0,41,0
Wild Strawberry Freeze™ (20 oz),190,0,0,0,0,55,51,0,51,0
,,,,,,,,,,
New Cravings Value Menu,,,,,,,,,,
Beef Burrito - Value Menu,430,19,6,0,20,990,49,4,3,12
Beefy Melt Burrito - Value Menu,620,29,11,0,45,"1,190",70,6,4,20
Cheesy Bean & Rice Burrito - Value Menu,420,16,4,0,<5,920,55,7,3,9
Cheesy Roll Up - Value Menu,180,9,6,0,20,430,17,1,1,8
Chicken Chipotle Melt - Value Menu,190,9,3,0,35,530,16,1,<1,12
Chipotle Ranch Grilled Chicken Burrito - Value Menu,510,29,7,0,45,950,47,4,3,17
Chips and Nacho Cheese Sauce - Value Menu,220,13,1.5,0,0,280,24,2,1,3
Cinnamon Twists - Value Menu,170,6,0.5,0,0,115,27,<1,10,1
Fiesta Veggie Burrito - Value Menu,570,28,8,0,25,"1,030",65,8,4,14
Spicy Potato Soft Taco - Value Menu,240,12,3,0,10,480,28,2,1,5
,,,,,,,,,,
Veggie Cravings,,,,,,,,,,
Bean Burrito,350,9,4,0,5,"1,040",55,10,3,13
Black Bean Chalupa Supreme®,340,18,4,0,10,460,36,6,4,10
Black Bean Crunchwrap Supreme®,520,18,5,0,5,"1,100",77,7,6,13
Black Bean Quesarito,630,30,11,0,35,"1,310",71,7,5,19
Black Beans,50,1.5,0,0,0,140,7,3,<1,3
Black Beans & Rice,160,4.5,0,0,0,370,25,4,<1,4
Cheese Quesadilla,470,24,13,0,50,"1,000",41,3,3,18
Cheesy Bean & Rice Burrito,420,16,4,0,<5,920,55,7,3,9
Cheesy Fiesta Potatoes,240,13,2,0,<5,520,28,3,1,3
Cheesy Roll Up,180,9,6,0,20,430,17,1,1,8
Chips and Nacho Cheese Sauce,220,13,1.5,0,0,280,24,2,1,3
Cinnabon® Delights™ (2 Pack),160,9,2,0,5,80,17,0,10,2
Cinnabon® Delights™ (12 Pack - Serves 4),930,53,13,2,40,480,104,3,59,9
Cinnamon Twists,170,6,0.5,0,0,115,27,<1,10,1
Hash Brown,160,11,1,0,0,280,14,1,0,1
Power Menu Bowl - Veggie,420,20,6,0,20,870,47,10,3,13
Spicy Potato Soft Taco,240,12,3,0,10,480,28,2,1,5
,,,,,,,,,,
Power Menu,,,,,,,,,,
High protein meets big flavor.,,,,,,,,,,
Power Menu Bowl - Chicken,460,21,6,0,70,"1,250",41,8,3,27
Power Menu Bowl - Steak,480,23,7,0,60,"1,280",42,7,4,25
Power Menu Bowl - Veggie (V),420,20,6,0,20,870,47,10,3,13
,,,,,,,,,,
Breakfast,,,,,,,,,,
Breakfast Crunchwrap - Bacon,670,40,13,0,135,"1,300",52,4,3,21
Breakfast Crunchwrap - Sausage,730,47,15,0,140,"1,290",52,4,3,20
Breakfast Crunchwrap - Steak,660,38,12,0,140,"1,360",53,4,3,24
Breakfast Quesadilla - Bacon,510,27,14,0,150,"1,250",41,3,3,25
Breakfast Quesadilla - Sausage,510,29,15,0,150,"1,130",40,3,3,23
Breakfast Quesadilla - Steak,510,25,14,0,160,"1,310",41,3,4,28
Breakfast Salsa Packet (V),0,0,0,0,0,50,<1,0,0,0
Cheesy Toasted Breakfast Burrito - Bacon,350,16,5,0,105,880,38,2,3,13
Cheesy Toasted Breakfast Burrito - Fiesta Potato (V),340,14,3.5,0,95,770,44,3,3,9
Cheesy Toasted Breakfast Burrito - Sausage,350,17,6,0,105,770,38,2,3,10
Cinnabon® Delights™ (2 Pack) (V),160,9,2,0,5,80,17,0,10,2
Cinnabon® Delights™ (12 Pack - Serves 4) (V),930,53,13,2,40,480,104,3,59,9
Cinnabon® Delights™ Coffee - Hot,160,2,1.5,0,5,75,34,0,22,1
Cinnabon® Delights™ Coffee - Iced,160,2,1.5,0,5,85,34,0,22,1
Grande Toasted Breakfast Burrito - Bacon,570,30,11,0,220,"1,310",52,4,3,23
Grande Toasted Breakfast Burrito - Sausage,570,31,12,0,220,"1,190",51,4,3,21
Grande Toasted Breakfast Burrito - Steak,570,28,10,0,230,"1,370",52,4,4,27
Hash Brown (V),160,11,1,0,0,280,14,1,0,1
Hash Brown Toasted Breakfast Burrito - Bacon,580,32,10,0,130,"1,290",52,3,3,20
Hash Brown Toasted Breakfast Burrito - Sausage,570,33,11,0,125,"1,170",52,3,3,18
Hash Brown Toasted Breakfast Burrito - Steak,570,30,10,0,135,"1,350",53,3,3,24
Hot Coffee with Creamer,45,1,0.5,0,<5,10,8,0,7,<1
Iced Coffee with Creamer,45,1,0.5,0,<5,15,8,0,7,<1
Orange Juice,140,0,0,0,0,20,33,<1,28,2
Premium Roast Coffee - Hot,0,0,0,0,0,5,0,0,0,0
Premium Roast Coffee - Iced,0,0,0,0,0,20,0,0,0,0
Vanilla Creamer,20,0,0,0,0,0,4,0,3,0
,,,,,,,,,,
Cantina Menu,,,,,,,,,,
At participating locations only,,,,,,,,,,
Beach Berry Freeze (16 oz),170,0,0,0,0,10,43,0,43,0
Beach Berry Freeze (20 oz),210,0,0,0,0,10,53,0,53,0
Caleb's Kola (20 oz),230,0,0,0,0,115,60,0,58,0
Ginger Mule Freeze (16 oz),170,0,0,0,0,10,43,0,43,0
Ginger Mule Freeze (20 oz),210,0,0,0,0,10,53,0,53,0
IZZE Sparkling Clementine (20 oz),180,0,0,0,0,190,48,0,45,0
Mad Tasty Grapefruit Sparkling Water,5,0,0,0,0,0,0,0,0,0
Mad Tasty Unicorn Tears Sparkling Water,5,0,0,0,0,0,0,0,0,0
Mad Tasty Watermelon Kiwi Sparkling Water,15,0,0,0,0,0,2,0,0,0
Mad Tasty Yuzu Citrus Sparkling Water,5,0,0,0,0,55,0,0,0,0
Margarita Freeze (16 oz),170,0,0,0,0,10,43,0,43,0
Margarita Freeze (20 oz),210,0,0,0,0,10,53,0,53,0
Mtn Dew® Baja Blast Freeze™ (16 oz),150,0,0,0,0,45,41,0,41,0
Mtn Dew® Baja Blast Freeze™ (20 oz),190,0,0,0,0,55,51,0,51,0
Party Punch Freeze (16 oz),170,0,0,0,0,10,43,0,43,0
Party Punch Freeze (20 oz),210,0,0,0,0,10,53,0,53,0
Prosecco Sparkling Wine (350 mL),280,0,0,0,0,15,9,0,3,0
Red Sangria (16 oz),440,0,0,0,0,45,37,0,32,0
Red Wine (6.3 fl oz),160,0,0,0,0,5,5,0,1,0
Rum (80 proof),70,0,0,0,0,0,0,0,0,0
Stubborn Soda - Black Cherry Tarragon (20 oz),240,0,0,0,0,90,60,0,60,0
Stubborn Soda - Classic Root Beer (20 oz),250,0,0,0,0,115,65,0,65,0
Tequila (80 proof),70,0,0,0,0,0,0,0,0,0
Vodka (80 proof),70,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
"Cantina Beer, Wine and Spirits",,,,,,,,,,
Anchor Steam (16 oz),200,0,0,0,0,0,0,0,0,0
Angel Island IPA (12 oz),190,0,0,0,0,0,14,0,0,1
Angel Island IPA (16 oz),250,0,0,0,0,0,19,0,0,2
Angry Orchard (16 oz),260,0,0,0,0,0,0,0,0,0
Angry Orchard - Crisp Apple (12 oz),200,0,0,0,0,0,25,0,20,0
Angry Orchard - Crisp Apple (16 oz),260,0,0,0,0,0,33,0,27,0
Barrio Blonde (12 oz),160,0,0,0,0,0,10,0,0,0
Barrio Blonde (16 oz),210,0,0,0,0,0,13,0,0,0
Beach Bell Beer (12 oz),180,0,0,0,0,0,14,0,0,0
Beach Bell Beer (16 oz),240,0,0,0,0,0,19,0,0,0
Beer - General (12 oz),150,0,0,0,0,15,13,0,0,2
Beer - General (16 oz),200,0,0,0,0,20,17,0,0,2
Bell's Two Hearted Ale (12 oz),210,0,0,0,0,0,17,0,0,0
Bell's Two Hearted Ale (16 oz),280,0,0,0,0,0,22,0,0,0
Bell Tower Cerveza (12 oz),110,0,0,0,0,0,11,0,0,2
Bell Tower Cerveza (16 oz),140,0,0,0,0,0,15,0,0,2
Black Abbey - The Rose (12 oz),160,0,0,0,0,0,12,0,0,0
Black Abbey - The Rose (16 oz),220,0,0,0,0,0,17,0,0,0
Blue Moon Belgian White (12 oz),170,0,0,0,0,15,14,0,0,2
Blue Moon Belgian White (16 oz),220,0,0,0,0,20,19,0,0,3
Blue Moon Mango Wheat (12 oz),180,0,0,0,0,0,16,0,0,2
Blue Moon Mango Wheat (16 oz),230,0,0,0,0,0,21,0,0,3
Blue Point Big City Bells Pilsner (12 oz),160,0,0,0,0,0,10,0,0,2
Blue Point Big City Bells Pilsner (16 oz),210,0,0,0,0,0,14,0,0,2
Blue Point Hoptical Illusion IPA (12 oz),220,0,0,0,0,20,18,0,0,3
Blue Point Hoptical Illusion IPA (16 oz),290,0,0,0,0,25,24,0,0,4
Blue Point Toasted Lager (12 oz),150,0,0,0,0,15,15,0,0,2
Blue Point Toasted Lager (16 oz),200,0,0,0,0,20,20,0,0,3
Boulevard Cherry Blossom and Lime (12 oz),90,0,0,0,0,0,3,0,0,0
Boulevard Cherry Blossom and Lime (16 oz),120,0,0,0,0,0,4,0,0,0
Boulevard Space Camper Cosmic IPA (12 oz),180,0,0,0,0,0,14,0,0,0
Boulevard Space Camper Cosmic IPA (16 oz),230,0,0,0,0,0,19,0,0,0
Boulevard Unfiltered Wheat Beer (12 oz),150,0,0,0,0,0,15,0,0,0
Boulevard Unfiltered Wheat Beer (16 oz),200,0,0,0,0,0,20,0,0,0
Boulevard Unfiltered Wheat Beer 100 (12 oz),100,0,0,0,0,0,5,0,0,0
Boulevard Unfiltered Wheat Beer 100 (16 oz),130,0,0,0,0,0,7,0,0,0
Breaking Bud (12 oz),180,0,0,0,0,0,11,0,0,2
Breaking Bud (16 oz),240,0,0,0,0,0,15,0,0,3
Brooklyn Lager (12 oz),170,0,0,0,0,0,13,0,13,0
Brooklyn Lager (16 oz),230,0,0,0,0,0,18,0,18,0
Bud Light (12 oz),110,0,0,0,0,0,7,0,0,<1
Bud Light (16 oz),150,0,0,0,0,0,9,0,0,1
Budweiser (12 oz),150,0,0,0,0,0,11,0,0,1
Budweiser (16 oz),190,0,0,0,0,0,14,0,0,2
Calicraft Coast (12 oz),130,0,0,0,0,0,11,0,0,0
Calicraft Coast (16 oz),170,0,0,0,0,0,15,0,0,0
Captain Lawrence Hop Commander (12 oz),200,0,0,0,0,0,15,0,0,2
Cool Kidz IPA (16 oz),220,0,0,0,0,0,0,0,0,0
Coors (Coors Banquet) (12 oz),150,0,0,0,0,15,12,0,0,1
Coors (Coors Banquet) (16 oz),200,0,0,0,0,20,16,0,0,1
Coors Light (12 oz),100,0,0,0,0,10,5,0,1,0
Coors Light (16 oz),140,0,0,0,0,15,7,0,1,0
Copperhead Red (12 oz),180,0,0,0,0,0,19,0,0,2
Copperhead Red (16 oz),240,0,0,0,0,0,25,0,0,3
Corona Extra (12 oz),150,0,0,0,0,20,14,0,0,1
Corona Extra (16 oz),200,0,0,0,0,25,19,0,0,2
Corona Light (12 oz),100,0,0,0,0,0,5,0,0,<1
Corona Light (16 oz),130,0,0,0,0,0,7,0,0,1
Corona Premier (12 oz),90,0,0,0,0,0,3,0,2,0
Corona Premier (16 oz),120,0,0,0,0,0,3,0,2,<1
Dos Equis Lager Especial (12 oz),130,0,0,0,0,0,11,0,0,0
Dos Equis Lager Especial (16 oz),170,0,0,0,0,0,15,0,0,0
Dos Equis Mexican Pale Ale (12 oz),180,0,0,0,0,0,15,0,0,2
Dos Equis Mexican Pale Ale (16 oz),230,0,0,0,0,0,20,0,0,3
Estrella Jalisco (12 oz),190,0,0,0,0,70,14,0,1,1
Estrella Jalisco (16 oz),250,0,0,0,0,95,19,0,1,1
Fair Winds® Howling Gail (12 oz),220,0,0,0,0,0,0,0,0,0
Fair Winds® Howling Gail (16 oz),300,0,0,0,0,0,0,0,0,0
Fat Tire Amber Ale (12 oz),160,0,0,0,0,0,0,0,0,0
Fat Tire Amber Ale (16 oz),210,0,0,0,0,0,0,0,0,0
Firestone 805 (12 oz),150,0,0,0,0,5,14,0,7,2
Firestone 805 (16 oz),200,0,0,0,0,5,18,0,9,2
Four Peaks Kilt Lifter (12 oz),180,0,0,0,0,10,14,0,0,2
Four Peaks Kilt Lifter (16 oz),240,0,0,0,0,15,19,0,0,3
Goose Island IPA (12 oz),190,0,0,0,0,0,15,0,0,2
Goose Island IPA (16 oz),250,0,0,0,0,0,20,0,0,3
Hard Mtn Dew - Baja Blast (12 oz),100,0,0,0,0,0,2,0,1,0
Hard Mtn Dew - Baja Blast (24 oz),200,0,0,0,0,0,4,0,2,0
Hard Mtn Dew - Black Cherry (12 oz),100,0,0,0,0,0,2,0,1,0
Hard Mtn Dew - Black Cherry (24 oz),200,0,0,0,0,0,4,0,2,0
Hard Mtn Dew - Original (12 oz),100,0,0,0,0,0,2,0,1,0
Hard Mtn Dew - Original (24 oz),200,0,0,0,0,0,4,0,2,0
Hard Mtn Dew - Watermelon (12 oz),100,0,0,0,0,0,2,0,1,0
Hard Mtn Dew - Watermelon (24 oz),200,0,0,0,0,0,4,0,2,0
Harpoon IPA (12 oz),180,0,0,0,0,0,14,0,0,2
Harpoon IPA (16 oz),240,0,0,0,0,0,18,0,0,3
Heineken (12 oz),140,0,0,0,0,0,11,0,0,2
Heineken (16 oz),190,0,0,0,0,0,15,0,0,3
Heineken 0.0 (12 oz),70,0,0,0,0,0,17,0,5,1
Heineken 0.0 (16 oz),100,0,0,0,0,0,23,0,6,2
Heineken Light (12 oz),100,0,0,0,0,0,7,0,0,1
Heineken Light (16 oz),130,0,0,0,0,0,9,0,0,1
Hop Commander IPA (12 oz),210,0,0,0,0,0,0,0,0,0
Hop Commander IPA (16 oz),280,0,0,0,0,0,0,0,0,0
Kansas City Dunkel (12 oz),180,0,0,0,0,0,13,0,0,2
Kansas City Dunkel (16 oz),230,0,0,0,0,0,18,0,0,3
Kansas City Helles (12 oz),180,0,0,0,0,0,12,0,0,2
Kansas City Helles (16 oz),230,0,0,0,0,0,16,0,0,3
Kona Big Wave Golden Ale (12 oz),130,0,0,0,0,10,10,0,0,1
Kona Big Wave Golden Ale (16 oz),180,0,0,0,0,10,13,0,0,2
Lagunitas IPA (12 oz),190,0,0,0,0,15,14,0,2,3
Lagunitas IPA (16 oz),250,0,0,0,0,20,19,0,3,4
Landshark Lager (12 oz),150,0,0,0,0,0,13,0,0,1
Landshark Lager (16 oz),200,0,0,0,0,0,18,0,0,2
Michelob Original Lager (12 oz),160,0,0,0,0,0,14,0,0,2
Michelob Original Lager (16 oz),210,0,0,0,0,0,19,0,0,3
Michelob Ultra (12 oz),100,0,0,0,0,0,3,0,0,<1
Michelob Ultra (16 oz),130,0,0,0,0,0,3,0,0,<1
Miller Genuine Draft (12 oz),140,0,0,0,0,10,12,0,0,0
Miller Genuine Draft (16 oz),190,0,0,0,0,15,16,0,0,0
Miller High Life (12 oz),140,0,0,0,0,10,12,0,0,0
Miller High Life (16 oz),190,0,0,0,0,15,16,0,0,0
Miller Lite (12 oz),100,0,0,0,0,5,3,0,0,0
Miller Lite (16 oz),130,0,0,0,0,5,4,0,0,0
Modelo Chelada (16 oz),290,0,0,0,0,880,35,0,0,3
Modelo Chelada (20 oz),360,0,0,0,0,"1,100",44,0,0,4
Modelo Chelada Especial (12 oz),150,0,0,0,0,440,18,0,0,2
Modelo Chelada Especial (16 oz),190,0,0,0,0,590,24,0,0,2
Modelo Chelada Limon y Sal (12 oz),130,0,0,0,0,390,14,0,0,0
Modelo Chelada Limon y Sal (16 oz),170,0,0,0,0,520,19,0,0,<1
Modelo Especial (12 oz),150,0,0,0,0,20,14,0,0,1
Modelo Especial (16 oz),200,0,0,0,0,25,19,0,0,1
Modelo Negra (12 oz),180,0,0,0,0,15,16,0,0,2
Modelo Negra (16 oz),240,0,0,0,0,20,21,0,0,2
Motorworks Intellectual Property IPA (12 oz),220,0,0,0,0,0,18,0,11,4
Motorworks Intellectual Property IPA (16 oz),290,0,0,0,0,0,24,0,15,5
Motorworks Pulp Fiction IPA (12 oz),220,0,0,0,0,0,18,0,11,4
Motorworks Pulp Fiction IPA (16 oz),300,0,0,0,0,0,24,0,15,5
Newcastle Brown Ale (12 oz),130,0,0,0,0,0,10,0,0,1
Newcastle Brown Ale (16 oz),170,0,0,0,0,0,13,0,0,1
Old Elephant IPA (12 oz),180,0,0,0,0,10,17,0,0,3
Old Elephant IPA (16 oz),230,0,0,0,0,15,22,0,0,4
Pabst Blue Ribbon Original (12 oz),140,0,0,0,0,10,12,0,4,1
Pabst Blue Ribbon Original (16 oz),190,0,0,0,0,15,16,0,5,2
Pacifico (12 oz),140,0,0,0,0,0,14,0,0,1
Pacifico (16 oz),190,0,0,0,0,0,19,0,0,1
Patriot Ale (12 oz),170,0,0,0,0,0,14,0,0,<1
Patriot Ale (16 oz),230,0,0,0,0,0,19,0,0,<1
Revolution Anti Hero (12 oz),220,0,0,0,0,10,20,1,1,3
Revolution Anti Hero (16 oz),290,0,0,0,0,15,27,1,1,4
Road 2 Ruin Double IPA (12 oz),220,0,0,0,0,10,14,1,0,3
Road 2 Ruin Double IPA (16 oz),290,0,0,0,0,15,19,1,0,4
Samuel Adams '76 (12 oz),130,0,0,0,0,0,8,0,0,0
Samuel Adams® Winter Lager (12 oz),190,0,0,0,0,0,0,0,0,0
Samuel Adams® Winter Lager (16 oz),260,0,0,0,0,0,0,0,0,0
Sea Hag IPA (12 oz),190,0,0,0,0,10,15,1,0,3
Sea Hag IPA (16 oz),250,0,0,0,0,15,20,1,0,4
Shock Top Belgian White (12 oz),170,0,0,0,0,0,15,0,0,2
Shock Top Belgian White (16 oz),220,0,0,0,0,0,19,0,0,3
Sierra Nevada Hazy Little Thing IPA (12 oz),210,0,0,0,0,0,21,0,0,2
Sierra Nevada Hazy Little Thing IPA (16 oz),290,0,0,0,0,0,27,0,0,3
Sol Cervesa (12 oz),140,0,0,0,0,0,12,0,0,0
Sol Cervesa (16 oz),180,0,0,0,0,0,15,0,0,0
St. Archer (16 oz),200,0,0,0,0,0,0,0,0,0
Stella Artois (12 oz),140,0,0,0,0,0,11,0,0,0
Stella Artois (16 oz),190,0,0,0,0,0,15,0,0,0
Sweetwater 420 Extra Pale Ale (12 oz),170,0,0,0,0,0,13,0,0,2
Sweetwater 420 Extra Pale Ale (16 oz),220,0,0,0,0,0,17,0,0,3
Tampa Bay Reef Donkey (16 oz),240,0,0,0,0,15,14,1,0,2
Tecate Light (12 oz),110,0,0,0,0,0,7,0,0,1
Tecate Light (16 oz),140,0,0,0,0,0,9,0,0,1
Tecate Original (12 oz),140,0,0,0,0,0,14,0,0,1
Tecate Original (16 oz),190,0,0,0,0,0,19,0,0,1
Victoria (12 oz),140,0,0,0,0,0,13,0,0,0
Victoria (16 oz),180,0,0,0,0,0,18,0,0,0
Voodoo Ranger Juicy Haze IPA (12 oz),230,0,0,0,0,0,16,0,0,0
Voodoo Ranger Juicy Haze IPA (16 oz),310,0,0,0,0,0,21,0,0,0
White Claw Hard Seltzer (12 oz),100,0,0,0,0,0,2,0,2,0
Yuengling - Black and Tan (12 oz),150,0,0,0,0,15,15,0,0,0
Yuengling - Black and Tan (16 oz),200,0,0,0,0,20,20,0,0,0
Yuengling - Golden Pilsner (12 oz),140,0,0,0,0,0,9,0,0,0
Yuengling - Golden Pilsner (16 oz),180,0,0,0,0,0,12,0,0,0
Yuengling - Lager (12 oz),140,0,0,0,0,15,12,0,0,0
Yuengling - Lager (16 oz),190,0,0,0,0,20,16,0,0,0
Yuengling - Light Lager (12 oz),100,0,0,0,0,10,9,0,0,0
Yuengling - Light Lager (16 oz),130,0,0,0,0,15,12,0,0,0
Yuengling - Porter (12 oz),160,0,0,0,0,15,15,0,0,0
Yuengling - Porter (16 oz),220,0,0,0,0,25,20,0,0,0
Yuengling - Premium (12 oz),140,0,0,0,0,20,12,0,0,0
Yuengling - Premium (16 oz),190,0,0,0,0,25,16,0,0,0
Yuengling - Premium Light (12 oz),100,0,0,0,0,10,7,0,0,0
Yuengling - Premium Light (16 oz),130,0,0,0,0,15,9,0,0,0
,,,,,,,,,,
Las Vegas Cantina Menu,,,,,,,,,,
At participating locations only,,,,,,,,,,
Beach Berry Freeze (16 oz),170,0,0,0,0,10,43,0,43,0
