Item,Serving Size,Calories,Calories from Fat (kcal),Fat (g),Saturated Fat (g),Trans Fatty Acid (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Total Dietary Fiber (g),Total Sugars (g),Protein (g)
Drive Thru - Coke - 20 fl oz,20 fl oz (591 mL),150,0,0,0,0,0,40,42,0,42,0
Drive Thru - Coke - 30 fl oz,30 fl oz (887 mL),230,0,0,0,0,0,60,63,0,63,0
Drive Thru - Coke Zero - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,40,0,0,0,0
Drive Thru - Coke Zero - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,65,0,0,0,0
Drive Thru - Diet Coke - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,50,0,0,0,0
Drive Thru - Diet Coke - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,75,0,0,0,0
Drive Thru - Diet Dr. Pepper - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,75,0,0,0,0
Drive Thru - Diet Dr. Pepper - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,110,0,0,0,0
Drive Thru - Diet Mountain Dew - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,60,1,0,0,0
Drive Thru - Diet Mountain Dew - 30 fl oz,30 fl oz (887 mL),5,0,0,0,0,0,85,1,0,0,0
Drive Thru - Diet Pepsi - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,60,0,0,0,0
Drive Thru - Diet Pepsi - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,90,0,0,0,0
Drive Thru - Dr. Pepper - 20 fl oz,20 fl oz (591 mL),150,0,0,0,0,0,45,41,0,40,0
Drive Thru - Dr. Pepper - 30 fl oz,30 fl oz (887 mL),220,0,0,0,0,0,70,61,0,60,0
Drive Thru - Fanta Orange - 20 fl oz,20 fl oz (591 mL),160,0,0,0,0,0,40,42,0,42,0
Drive Thru - Fanta Orange - 30 fl oz,30 fl oz (887 mL),230,0,0,0,0,0,65,63,0,63,0
Drive Thru - Fuji Apple Cranberry Flavored Charged Lemonade - 20 fl oz,20 fl oz (591 mL),180,0,0,0,0,0,10,43,0,40,0
Drive Thru - Fuji Apple Cranberry Flavored Charged Lemonade - 30 fl oz,30 fl oz (887 mL),260,5,0,0,0,0,15,65,0,60,0
Drive Thru - Lipton Brisk Raspberry Tea - 20 fl oz,20 fl oz (591 mL),70,0,0,0,0,0,50,19,0,19,0
Drive Thru - Lipton Brisk Raspberry Tea - 30 fl oz,30 fl oz (887 mL),110,0,0,0,0,0,75,28,0,28,0
Drive Thru - Mango Yuzu Citrus Flavored Charged Lemonade - 30 fl oz,30 fl oz (887 mL),320,5,0,0,0,0,15,78,0,75,0
Drive Thru - Mango Yuzu Citrus Flavored Charged Lemonade - 20 fl oz,20 fl oz (591 mL),210,0,0,0,0,0,10,52,0,50,0
Drive Thru - Mist Twist - 20 fl oz,20 fl oz (591 mL),160,0,0,0,0,0,35,42,0,42,0
Drive Thru - Mist Twist - 30 fl oz,30 fl oz (887 mL),240,0,0,0,0,0,50,63,0,63,0
Drive Thru - Mountain Dew - 20 fl oz,20 fl oz (591 mL),180,0,0,0,0,0,55,46,0,46,0
Drive Thru - Mountain Dew - 30 fl oz,30 fl oz (887 mL),260,0,0,0,0,0,80,69,0,69,0
Drive Thru - Mug Root Beer - 20 fl oz,20 fl oz (591 mL),150,0,0,0,0,0,60,40,0,40,0
Drive Thru - Mug Root Beer - 30 fl oz,30 fl oz (887 mL),230,0,0,0,0,0,90,60,0,59,0
Drive Thru - Passion Papaya Flavored Green Tea - 20 fl oz,20 fl oz (591 mL),90,0,0,0,0,0,20,23,0,22,0
Drive Thru - Passion Papaya Flavored Green Tea - 30 fl oz,30 fl oz (887 mL),130,0,0,0,0,0,25,32,0,31,0
Drive Thru - Pepsi - 20 fl oz,20 fl oz (591 mL),160,0,0,0,0,0,35,43,0,43,0
Drive Thru - Pepsi - 30 fl oz,30 fl oz (887 mL),240,0,0,0,0,0,50,65,0,64,0
Drive Thru - Pibb Xtra - 20 fl oz,20 fl oz (591 mL),150,0,0,0,0,0,55,39,0,39,0
Drive Thru - Pibb Xtra - 30 fl oz,30 fl oz (887 mL),230,0,0,0,0,0,85,58,0,58,0
Drive Thru - Powerade Mountain Blast - 20 fl oz,20 fl oz (591 mL),90,0,0,0,0,0,120,23,0,23,0
Drive Thur - Powerade Mountain Blast - 30 Fl oz,30 fl oz (887 mL),130,0,0,0,0,0,180,35,0,34,0
Drive Thru - SoBe Life Water Yumberry Pomegranate - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,50,0,0,0,0
Drive Thru - SoBe Life Water Yumberry Pomegranate - 30 fl oz,30 fl oz (887 mL),0,0,0,0,0,0,75,0,0,0,0
Drive Thru - Sprite - 20 fl oz,20 fl oz (591 mL),140,0,0,0,0,0,70,38,0,38,0
Drive Thru - Sprite - 30 fl oz,30 fl oz (887 mL),210,0,0,0,0,0,105,57,0,57,0
Drive Thru -  Strawberry Lemon Mint Flavored Charged Lemonade - 20 fl oz,20 fl oz (591 mL),170,0,0,0,0,0,10,43,0,40,0
Drive Thru - Strawberry Lemon Mint Flavored Charged Lemonade - 30 fl oz,30 fl oz (887 mL),260,5,0,0,0,0,15,64,0,60,0
Drive Thru - Sweet Tea - 20 fl oz,20 fl oz (591 mL),80,0,0,0,0,0,10,18,0,18,2
Drive Thru - Sweet Tea - 30 fl oz,30 fl oz (887 mL),100,0,0,0,0,0,15,25,0,25,2
Drive Thru - Tropicana Fruit Punch - 20 fl oz,20 fl oz (591 mL),180,0,0,0,0,0,35,47,0,47,0
Drive Thru - Tropicana Fruit Punch - 30 fl oz,30 fl oz (887 mL),270,0,0,0,0,0,50,71,0,70,0
Drive Thru - Tropicana Lemonade - 20 fl oz,20 fl oz (591 mL),160,0,0,0,0,0,160,42,0,41,0
Drive Thru - Tropicana Lemonade - 30 fl oz,30 fl oz (887 mL),240,0,0,0,0,0,240,62,0,62,0
Drive Thru - Tropicana Light Lemonade - 20 fl oz,20 fl oz (591 mL),5,0,0,0,0,0,150,0,0,0,0
Drive Thru - Tropicana Light Lemonade - 30 fl oz,30 fl oz (887 mL),10,0,0,0,0,0,220,0,0,0,0
Drive Thru - Unsweetened Black Tea - 20 fl oz,20 fl oz (591 mL),10,0,0,0,0,0,10,0,0,0,2
Drive Thru - Unsweetened Black Tea - 30 fl oz,30 fl oz (887 mL),10,0,0,0,0,0,15,0,0,0,2
Drive Thru - Wild Cherry Pepsi 20 fl oz,20 fl oz (591 mL),160,0,0,0,0,0,35,44,0,44,0
Drive Thru - Wild Cherry Pepsi 30 fl oz,30 fl oz (887 mL),240,0,0,0,0,0,50,66,0,66,0
Drive-Thru - Lime Bubly Sparkling Water - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,65,0,0,0,0
Drive-Thru - Lime Bubly Sparkling Water - 30 fl oz,30 fl oz (887 mL),5,0,0,0,0,0,95,0,0,0,0
Earl Greyer Tea - 8 fl oz,8 fl oz (240 mL),0,0,0,0,0,0,10,0,0,0,0
Espresso,2 fl oz (59 mL),10,0,0,0,0,0,0,2,0,0,1
Fanta Orange - 20 fl oz,20 fl oz (591 mL),250,0,0,0,0,0,65,66,0,66,0
Fanta Orange - 30 fl oz,30 fl oz (887 mL),370,0,0,0,0,0,100,99,0,99,0
Frozen Caramel Cold Brew - 16 fl oz,16 fl oz (473 mL),480,150,17,10,0,50,230,79,0,58,5
Frozen Chocolate Cold Brew - 16 fl oz,16 fl oz (473 mL),440,120,13,8,0,45,130,79,2,59,6
Frozen Strawberry Lemonade with Fresh Strawberries - 16 fl oz,16 fl oz (473mL),140,5,0,0,0,0,10,35,3,31,1
Fuji Apple Cranberry Flavored Charged Lemonade - 20 fl oz,20 fl oz (591 mL),290,5,0,0,0,0,10,71,0,66,0
Fuji Apple Cranberry Flavored Charged Lemonade - 30 fl oz,30 fl oz (887 mL),430,5,0.5,0,0,0,20,106,0,99,1
Ginger Peach Tea - 8 fl oz,8 fl oz (240 mL),0,0,0,0,0,0,10,0,0,0,0
Gold Peak Unsweetened Iced Tea - 18.5 fl oz,18.5 fl oz (547 mL),0,0,0,0,0,0,55,0,0,0,0
Hazelnut Coffee - Group,1 Container,140,0,0,0,0,0,60,24,0,0,10
Hazelnut Flavored Coffee - 12 fl oz,12 fl oz (355 mL),15,0,0,0,0,0,5,2,0,0,1
Hazelnut Flavored Coffee - 16 fl oz,16 fl oz (473 mL),20,0,0,0,0,0,10,3,0,0,1
Hazelnut Flavored Coffee - 20 fl oz,20 fl oz (591 mL),25,0,0,0,0,0,10,4,0,0,2
Honest Berry Hibiscus Iced Tea - 16.9 fl oz bottle,16.9 fl oz bottle,100,0,0,0,0,0,5,26,0,25,0
Honey Ginseng Green Tea - 8 fl oz,8 fl oz (240 mL),0,0,0,0,0,0,0,0,0,0,0
Iced 100% Colombian Dark Roast Coffee - 20 fl oz,20 fl oz (591 mL),10,0,0,0,0,0,15,2,0,0,1
Iced 100% Colombian Dark Roast Coffee - 20 fl oz - no ice,20 fl oz (591 mL),15,0,0,0,0,0,15,3,0,0,1
Iced 100% Colombian Dark Roast Coffee - 30 fl oz,30 fl oz (887 mL),15,0,0,0,0,0,20,3,0,0,1
Iced 100% Colombian Dark Roast Coffee - 30 fl oz - no ice,30 fl oz (887 mL),25,0,0,0,0,0,20,5,0,0,2
Iced 100% Colombian Dark Roast Coffee- 16 fl oz,16 fl oz (473 mL),10,0,0,0,0,0,10,2,0,0,1
Iced Caffe Latte - 20 fl oz,20 fl oz (591 mL),160,60,6,4,0,25,130,16,0,14,11
Iced Caramel Latte - 20 fl oz,20 fl oz (591 mL),440,130,15,9,0,50,320,63,0,45,13
Iced Chai Tea Latte - 20 fl oz,20 fl oz (591 mL),290,60,6,4,0,25,130,49,0,48,10
Iced Chocolate Latte - 20 fl oz,20 fl oz (591 mL,400,100,11,7,0,40,220,62,2,46,14
Iced Madagascar Vanilla Latte - 20 fl oz,20 fl oz (591 mL),290,90,10,7,0,40,140,36,0,34,12
Kids Organic Apple juice,8 fl oz (237 mL),110,0,0,0,0,0,10,28,0,27,0
Kids Organic Chocolate Milk,8 fluid ounces (237 mL),150,20,2.5,1.5,0,15,180,23,0,22,8
Kids Organic White Milk,8 fluid ounces (237 mL),110,20,2.5,1.5,0,10,130,13,0,12,8
Lime Bubly Sparkling Water - 20 fl oz,20 fl oz (591 mL),0,0,0,0,0,0,105,0,0,0,0
Lime Bubly Sparkling Water - 30 fl oz,30 fl oz (887 mL),5,0,0,0,0,0,160,0,0,0,0
Lipton Brisk Raspberry Tea - 20 fl oz,20 fl oz (591 mL),120,0,0,0,0,0,80,30,0,30,0
Lipton Brisk Raspberry Tea - 30 fl oz,30 fl oz (887 mL),170,0,0,0,0,0,120,45,0,45,0
Madagascar Vanilla Almond Cold Brew Coffee - 16 fl oz,16 fl oz (473 mL),90,10,1.5,0,0,0,45,18,0,17,1
Madagascar Vanilla Almond Cold Brew Coffee - 20 fl oz,20 fl oz (591 mL),120,15,1.5,0,0,0,60,24,0,22,1
Madagascar Vanilla Cream Cold Brew Coffee - 16 fl oz,16 fl oz (473 mL),190,100,11,7,0,35,50,22,0,17,3
Madagascar Vanilla Cream Cold Brew Coffee - 20 fl oz,20 fl oz (591 mL),260,130,14,9,0,45,60,29,0,22,4
Madagascar Vanilla Latte - 16 fl oz,16 fl oz (473 mL),260,80,9,6,0,35,115,33,0,31,10
Madagascar Vanilla Latte - 20 fl oz,20 fl oz (591 mL),310,90,10,7,0,40,140,41,0,40,12
Mango Ceylon Tea - 8 fl oz,8 fl oz (240 mL),0,0,0,0,0,0,0,0,0,0,0
Mango Yuzu Citrus Flavored Charged Lemonade - 20 fl oz,20 fl oz (591 mL),360,5,0,0,0,0,10,87,0,83,0
